"","County_cd","Loc_cd","County_name","Chemical_name","Concentration..ppb.","Level_of_quantification..ppb.","Method_detection_level..ppb.","Sample_date","Latitude","Longitude","Site_code","Site_name","Sample_type","Study_cd","Study_description","Study_weblink","Data.source","Agency","Record_id"
"677758","31",26,"Placer","bifenthrin",0.014,0.001,0.00091,"2017-10-20",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862821
"677765","31",31,"Placer","bifenthrin",0,0.001,0.00091,"2018-06-11",38.80261,-121.33881,"31_31","Dual Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk (DPR site id: PGC022)","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862394
"677916","31",26,"Placer","bifenthrin",0.0088,0.005,0.00176,"2009-05-01",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",89,"DPR Study 249, Monitoring Urban Pesticide Runoff in California 2008-2009.","http://www.cdpr.ca.gov/docs/emon/pubs/ehapreps/study_249_ensminger.pdf","DPR","California Department Of Pesticide Regulation",353549
"677972","31",30,"Placer","bifenthrin",0.135,0.001,0.00091,"2018-06-11",38.80273,-121.33853,"31_30","Single Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2863078
"678081","31",29,"Placer","bifenthrin",0.0057,0.001,0.00091,"2017-03-21",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",660,"DPR study 299: Ambient and Mitigation Monitoring in Urban Areas in Northern California, FY 2016-2017","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_2016_17.pdf","DPR","California Department Of Pesticide Regulation",2087289
"678095","31",26,"Placer","bifenthrin",0,0.001,0.00091,"2017-08-08",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862090
"678280","31",30,"Placer","bifenthrin",0.0363,0.001,0.00091,"2013-02-19",38.80273,-121.33853,"31_30","Single Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk","Single whole water sample",463,"DPR Study 269. Further Characterization Of Sacramento, California Area Urban Neighborhoods. Addendum For Fiscal Year 2011-2012","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_add.pdf","DPR","California Department Of Pesticide Regulation",471486
"678365","31",26,"Placer","bifenthrin",0.0195,0.005,0.00176,"2009-10-13",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",260,"DPR study 264 Urban pesticide monitoring in northern California Oct 2009 - May 2010","http://cdpr.ca.gov/docs/emon/surfwtr/protocols/study264protocol.pdf","DPR","California Department Of Pesticide Regulation",427877
"678866","31",39,"Placer","bifenthrin",0,0.0021053,0.0017895,"2014-03-17",38.73693,-121.36461,"31_39","Dry Creek at Walerga Rd near Baseline Rd and Fiddyment Rd(DPR site id: DRY100)","Single whole water sample",463,"DPR Study 269. Further Characterization Of Sacramento, California Area Urban Neighborhoods. Addendum For Fiscal Year 2011-2012","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_add.pdf","DPR","California Department Of Pesticide Regulation",472049
"678877","31",36,"Placer","bifenthrin",0,0.001,0.00091,"2018-06-11",38.79477,-121.37251,"31_36","Pleasant Grove Creek downstream receiving site(DPR site id: PGC058)","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862431
"680669","31",31,"Placer","bifenthrin",0.0188,0.001,0.00091,"2016-10-14",38.80261,-121.33881,"31_31","Dual Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk (DPR site id: PGC022)","Single whole water sample",660,"DPR study 299: Ambient and Mitigation Monitoring in Urban Areas in Northern California, FY 2016-2017","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_2016_17.pdf","DPR","California Department Of Pesticide Regulation",2087023
"681936","31",26,"Placer","bifenthrin",0,0.005,0.00176,"2009-10-12",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",260,"DPR study 264 Urban pesticide monitoring in northern California Oct 2009 - May 2010","http://cdpr.ca.gov/docs/emon/surfwtr/protocols/study264protocol.pdf","DPR","California Department Of Pesticide Regulation",426950
"682096","31",28,"Placer","bifenthrin",0.0513,0.005,0.00176,"2009-10-13",38.80232,-121.33855,"31_28","Confl. of 2 Storm Drain outlfows-Opal/ Parkside Way, drains to Pleasant Grove Crk (DPR Site ID:PGC020)","Single whole water sample",260,"DPR study 264 Urban pesticide monitoring in northern California Oct 2009 - May 2010","http://cdpr.ca.gov/docs/emon/surfwtr/protocols/study264protocol.pdf","DPR","California Department Of Pesticide Regulation",427875
"682554","31",28,"Placer","bifenthrin",0.0388,0.005,0.00176,"2010-04-04",38.80232,-121.33855,"31_28","Confl. of 2 Storm Drain outlfows-Opal/ Parkside Way, drains to Pleasant Grove Crk (DPR Site ID:PGC020)","Single whole water sample",260,"DPR study 264 Urban pesticide monitoring in northern California Oct 2009 - May 2010","http://cdpr.ca.gov/docs/emon/surfwtr/protocols/study264protocol.pdf","DPR","California Department Of Pesticide Regulation",428804
"682775","31",28,"Placer","bifenthrin",0.0074,0.005,0.00176,"2009-10-12",38.80232,-121.33855,"31_28","Confl. of 2 Storm Drain outlfows-Opal/ Parkside Way, drains to Pleasant Grove Crk (DPR Site ID:PGC020)","Single whole water sample",260,"DPR study 264 Urban pesticide monitoring in northern California Oct 2009 - May 2010","http://cdpr.ca.gov/docs/emon/surfwtr/protocols/study264protocol.pdf","DPR","California Department Of Pesticide Regulation",426948
"682836","31",29,"Placer","bifenthrin",0.0141,0.005,0.00176,"2009-10-12",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",260,"DPR study 264 Urban pesticide monitoring in northern California Oct 2009 - May 2010","http://cdpr.ca.gov/docs/emon/surfwtr/protocols/study264protocol.pdf","DPR","California Department Of Pesticide Regulation",426947
"683099","31",31,"Placer","bifenthrin",0.0271,0.001,0.00091,"2018-02-26",38.80261,-121.33881,"31_31","Dual Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk (DPR site id: PGC022)","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862923
"683195","31",29,"Placer","bifenthrin",0.0189,0.001,0.00091,"2018-02-26",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862865
"683242","31",26,"Placer","bifenthrin",0.0076,0.002,0.00091,"2011-05-15",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",428445
"683277","31",35,"Placer","bifenthrin",0.0094,0.005,0.00176,"2010-10-24",38.79696,-121.35133,"31_35","South Branch of Pleasant Grove Creek at Veteran's Memorial Park (DPR site id: PGC050)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",426546
"683341","31",27,"Placer","bifenthrin",0.0201,0.005,0.00176,"2009-05-01",38.79908,-121.34698,"31_27","Storm Drain at Crocker Ranch Road - drains to Pleasant Grove Crk (DPR Site ID:PGC030)","Single whole water sample",89,"DPR Study 249, Monitoring Urban Pesticide Runoff in California 2008-2009.","http://www.cdpr.ca.gov/docs/emon/pubs/ehapreps/study_249_ensminger.pdf","DPR","California Department Of Pesticide Regulation",353532
"683417","31",38,"Placer","bifenthrin",0.0022,0.002,0.00091,"2011-05-15",38.79151,-121.36338,"31_38","Kaseberg Creek Receiving Water at Blue Oaks Blvd(DPR site id: KBC100)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",428701
"683445","31",41,"Placer","bifenthrin",0.0106,0.005,0.00176,"2010-07-19",38.80248,-121.3386,"31_41","Conflunc of two Storm Drain outlfows at Opal and Pksde Wy, left side of strm (DPR site id: PGC019)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",429094
"683597","31",26,"Placer","bifenthrin",0,0.002,0.00091,"2011-06-27",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",429650
"683629","31",27,"Placer","bifenthrin",0.0208,0.005,0.00176,"2009-04-13",38.79908,-121.34698,"31_27","Storm Drain at Crocker Ranch Road - drains to Pleasant Grove Crk (DPR Site ID:PGC030)","Single whole water sample",89,"DPR Study 249, Monitoring Urban Pesticide Runoff in California 2008-2009.","http://www.cdpr.ca.gov/docs/emon/pubs/ehapreps/study_249_ensminger.pdf","DPR","California Department Of Pesticide Regulation",353530
"683769","31",27,"Placer","bifenthrin",0.0559,0.005,0.00176,"2010-10-24",38.79908,-121.34698,"31_27","Storm Drain at Crocker Ranch Road - drains to Pleasant Grove Crk (DPR Site ID:PGC030)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",430272
"683922","31",34,"Placer","bifenthrin",0.0215,0.002,0.00091,"2011-05-15",38.80143,-121.33952,"31_34","Tributary stream nr. ParksideWay & BridgesideCt.  influx to Pleasant Grv crk(DPR site id: PGC025)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",428216
"684212","31",28,"Placer","bifenthrin",0.00858,0.005,0.00176,"2009-04-13",38.80232,-121.33855,"31_28","Confl. of 2 Storm Drain outlfows-Opal/ Parkside Way, drains to Pleasant Grove Crk (DPR Site ID:PGC020)","Single whole water sample",89,"DPR Study 249, Monitoring Urban Pesticide Runoff in California 2008-2009.","http://www.cdpr.ca.gov/docs/emon/pubs/ehapreps/study_249_ensminger.pdf","DPR","California Department Of Pesticide Regulation",353550
"684491","31",26,"Placer","bifenthrin",0,0.005,0.00176,"2009-04-13",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",89,"DPR Study 249, Monitoring Urban Pesticide Runoff in California 2008-2009.","http://www.cdpr.ca.gov/docs/emon/pubs/ehapreps/study_249_ensminger.pdf","DPR","California Department Of Pesticide Regulation",353495
"684979","31",26,"Placer","bifenthrin",0,0.005,0.00176,"2009-08-28",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",89,"DPR Study 249, Monitoring Urban Pesticide Runoff in California 2008-2009.","http://www.cdpr.ca.gov/docs/emon/pubs/ehapreps/study_249_ensminger.pdf","DPR","California Department Of Pesticide Regulation",353504
"685126","31",27,"Placer","bifenthrin",0.0491,0.005,0.00176,"2009-10-12",38.79908,-121.34698,"31_27","Storm Drain at Crocker Ranch Road - drains to Pleasant Grove Crk (DPR Site ID:PGC030)","Single whole water sample",260,"DPR study 264 Urban pesticide monitoring in northern California Oct 2009 - May 2010","http://cdpr.ca.gov/docs/emon/surfwtr/protocols/study264protocol.pdf","DPR","California Department Of Pesticide Regulation",426949
"685451","31",30,"Placer","bifenthrin",0.0016,0.001,0.00091,"2017-08-08",38.80273,-121.33853,"31_30","Single Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862124
"686498","31",27,"Placer","bifenthrin",0.0436,0.005,0.00176,"2009-02-13",38.79908,-121.34698,"31_27","Storm Drain at Crocker Ranch Road - drains to Pleasant Grove Crk (DPR Site ID:PGC030)","Single whole water sample",89,"DPR Study 249, Monitoring Urban Pesticide Runoff in California 2008-2009.","http://www.cdpr.ca.gov/docs/emon/pubs/ehapreps/study_249_ensminger.pdf","DPR","California Department Of Pesticide Regulation",353520
"687021","31",26,"Placer","bifenthrin",0,0.001,0.00091,"2016-08-01",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",660,"DPR study 299: Ambient and Mitigation Monitoring in Urban Areas in Northern California, FY 2016-2017","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_2016_17.pdf","DPR","California Department Of Pesticide Regulation",2086148
"687483","31",31,"Placer","bifenthrin",0.0029,0.001,0.00091,"2016-08-01",38.80261,-121.33881,"31_31","Dual Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk (DPR site id: PGC022)","Single whole water sample",660,"DPR study 299: Ambient and Mitigation Monitoring in Urban Areas in Northern California, FY 2016-2017","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_2016_17.pdf","DPR","California Department Of Pesticide Regulation",2086238
"687514","31",29,"Placer","bifenthrin",0.0048,0.001,0.00091,"2016-10-14",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",660,"DPR study 299: Ambient and Mitigation Monitoring in Urban Areas in Northern California, FY 2016-2017","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_2016_17.pdf","DPR","California Department Of Pesticide Regulation",2086947
"687658","31",31,"Placer","bifenthrin",0.0042,0.001,0.00091,"2017-06-05",38.80261,-121.33881,"31_31","Dual Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk (DPR site id: PGC022)","Single whole water sample",660,"DPR study 299: Ambient and Mitigation Monitoring in Urban Areas in Northern California, FY 2016-2017","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_2016_17.pdf","DPR","California Department Of Pesticide Regulation",2086386
"687967","31",36,"Placer","bifenthrin",0.0051,0.001,0.00091,"2016-10-14",38.79477,-121.37251,"31_36","Pleasant Grove Creek downstream receiving site(DPR site id: PGC058)","Single whole water sample",660,"DPR study 299: Ambient and Mitigation Monitoring in Urban Areas in Northern California, FY 2016-2017","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_2016_17.pdf","DPR","California Department Of Pesticide Regulation",2087061
"687990","31",29,"Placer","bifenthrin",0.0039,0.001,0.00091,"2017-06-05",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",660,"DPR study 299: Ambient and Mitigation Monitoring in Urban Areas in Northern California, FY 2016-2017","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_2016_17.pdf","DPR","California Department Of Pesticide Regulation",2086308
"688052","31",26,"Placer","bifenthrin",0,0.001,0.00091,"2017-06-05",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",660,"DPR study 299: Ambient and Mitigation Monitoring in Urban Areas in Northern California, FY 2016-2017","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_2016_17.pdf","DPR","California Department Of Pesticide Regulation",2086269
"688380","31",29,"Placer","bifenthrin",0.04,0.001,0.00091,"2015-02-06",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",465,"DPR Study 269 (2014-15). Further Characterization Of Sacramento, California Area Urban Neighborhoods","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol2014_15.pdf","DPR","California Department Of Pesticide Regulation",484129
"688475","31",26,"Placer","bifenthrin",0.0063,0.001,0.00091,"2015-02-06",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",465,"DPR Study 269 (2014-15). Further Characterization Of Sacramento, California Area Urban Neighborhoods","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol2014_15.pdf","DPR","California Department Of Pesticide Regulation",484124
"688691","31",29,"Placer","bifenthrin",0.0032,0.001,0.00091,"2018-06-11",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862300
"689719","31",29,"Placer","bifenthrin",0.203,0.005,0.00176,"2009-02-13",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",89,"DPR Study 249, Monitoring Urban Pesticide Runoff in California 2008-2009.","http://www.cdpr.ca.gov/docs/emon/pubs/ehapreps/study_249_ensminger.pdf","DPR","California Department Of Pesticide Regulation",353516
"690280","31",26,"Placer","bifenthrin",0.00774,0.005,0.00176,"2009-04-08",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",89,"DPR Study 249, Monitoring Urban Pesticide Runoff in California 2008-2009.","http://www.cdpr.ca.gov/docs/emon/pubs/ehapreps/study_249_ensminger.pdf","DPR","California Department Of Pesticide Regulation",353553
"690813","31",30,"Placer","bifenthrin",0.0021,0.001,0.00091,"2016-08-01",38.80273,-121.33853,"31_30","Single Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk","Single whole water sample",660,"DPR study 299: Ambient and Mitigation Monitoring in Urban Areas in Northern California, FY 2016-2017","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_2016_17.pdf","DPR","California Department Of Pesticide Regulation",2086208
"692750","31",29,"Placer","bifenthrin",0.0405,0.005,0.00176,"2010-04-04",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",260,"DPR study 264 Urban pesticide monitoring in northern California Oct 2009 - May 2010","http://cdpr.ca.gov/docs/emon/surfwtr/protocols/study264protocol.pdf","DPR","California Department Of Pesticide Regulation",428803
"692879","31",29,"Placer","bifenthrin",0.0045,0.001,0.00091,"2017-08-08",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862346
"692963","31",30,"Placer","bifenthrin",0.0294,0.001,0.00091,"2017-10-20",38.80273,-121.33853,"31_30","Single Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862929
"692983","31",31,"Placer","bifenthrin",0.038,0.001,0.00091,"2018-02-27",38.80261,-121.33881,"31_31","Dual Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk (DPR site id: PGC022)","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862950
"693007","31",31,"Placer","bifenthrin",0.0223,0.001,0.00091,"2017-10-20",38.80261,-121.33881,"31_31","Dual Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk (DPR site id: PGC022)","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862899
"693080","31",29,"Placer","bifenthrin",0.0852,0.001,0.00091,"2017-10-20",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2863011
"693193","31",41,"Placer","bifenthrin",0.0623,0.005,0.00176,"2010-10-24",38.80248,-121.3386,"31_41","Conflunc of two Storm Drain outlfows at Opal and Pksde Wy, left side of strm (DPR site id: PGC019)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",429810
"693234","31",29,"Placer","bifenthrin",0.141,0.001,0.00091,"2013-02-19",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",463,"DPR Study 269. Further Characterization Of Sacramento, California Area Urban Neighborhoods. Addendum For Fiscal Year 2011-2012","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_add.pdf","DPR","California Department Of Pesticide Regulation",476373
"693498","31",42,"Placer","bifenthrin",0,0.005,0.00176,"2010-07-19",38.80383,-121.32147,"31_42","Pleasant Grove Creek NE of Woodcreek Oaks Blvd. DPR siteID: PGC001","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",428632
"693591","31",26,"Placer","bifenthrin",0,0.001,0.00091,"2013-04-30",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",463,"DPR Study 269. Further Characterization Of Sacramento, California Area Urban Neighborhoods. Addendum For Fiscal Year 2011-2012","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_add.pdf","DPR","California Department Of Pesticide Regulation",471816
"693808","31",27,"Placer","bifenthrin",0.0177,0.002,0.00091,"2011-05-15",38.79908,-121.34698,"31_27","Storm Drain at Crocker Ranch Road - drains to Pleasant Grove Crk (DPR Site ID:PGC030)","Single whole water sample",261,"DPR study 269 Further Characterization Of A Sacramento, California Area Urban Neighborhood July 2010 ? July 2011","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol_2.pdf","DPR","California Department Of Pesticide Regulation",428242
"694106","31",30,"Placer","bifenthrin",0.0134,0.001,0.00091,"2016-10-14",38.80273,-121.33853,"31_30","Single Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk","Single whole water sample",660,"DPR study 299: Ambient and Mitigation Monitoring in Urban Areas in Northern California, FY 2016-2017","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_2016_17.pdf","DPR","California Department Of Pesticide Regulation",2086985
"696077","31",36,"Placer","bifenthrin",0.0121,0.001,0.00091,"2017-10-20",38.79477,-121.37251,"31_36","Pleasant Grove Creek downstream receiving site(DPR site id: PGC058)","Single whole water sample",882,"DPR study 299: Monitoring in Urban Areas in Northern California, FY 2018-2019","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_ensminger_urban_study_fy2018-19.pdf","DPR","California Department Of Pesticide Regulation",2862806
"697881","31",26,"Placer","bifenthrin",0,0.001,0.00091,"2015-06-08",38.79857,-121.34802,"31_26","Pleasant Grove Crk at Veteran's Memorial Park - (DPR Site ID:PGC040)","Single whole water sample",465,"DPR Study 269 (2014-15). Further Characterization Of Sacramento, California Area Urban Neighborhoods","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol2014_15.pdf","DPR","California Department Of Pesticide Regulation",484125
"697916","31",29,"Placer","bifenthrin",0.0183,0.001,0.00091,"2014-08-06",38.80477,-121.32733,"31_29","Storm Drain at Dugan Park on Diamond Woods Crcl-drains to Pleasant Grove Crk (DPR Site ID:PGC010)","Single whole water sample",465,"DPR Study 269 (2014-15). Further Characterization Of Sacramento, California Area Urban Neighborhoods","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol2014_15.pdf","DPR","California Department Of Pesticide Regulation",486957
"697922","31",36,"Placer","bifenthrin",0,0.001,0.00091,"2017-06-05",38.79477,-121.37251,"31_36","Pleasant Grove Creek downstream receiving site(DPR site id: PGC058)","Single whole water sample",660,"DPR study 299: Ambient and Mitigation Monitoring in Urban Areas in Northern California, FY 2016-2017","https://www.cdpr.ca.gov/docs/emon/pubs/protocol/study299_2016_17.pdf","DPR","California Department Of Pesticide Regulation",2086425
"698111","31",30,"Placer","bifenthrin",0.0187,0.001,0.00091,"2014-08-06",38.80273,-121.33853,"31_30","Single Storm Drain at Opal and Parkside Way-drains to Pleasant Grove Crk","Single whole water sample",465,"DPR Study 269 (2014-15). Further Characterization Of Sacramento, California Area Urban Neighborhoods","http://cdpr.ca.gov/docs/emon/pubs/protocol/study269protocol2014_15.pdf","DPR","California Department Of Pesticide Regulation",486959
